RETURN_ID,FILING_TYPE,EIN,TAX_PERIOD,SUB_DATE,TAXPAYER_NAME,RETURN_TYPE,DLN,OBJECT_ID,XML_BATCH_ID
23359801,EFILE,561798009,202409,2025,UNIVERSALIST CONVENTION OF NORTH CAROLINA INCORPORATED,990,93493017004195,202540179349300419,2025_TEOS_XML_01A
23359806,EFILE,453787871,202312,2025,Missouri Forget-Me-Not Horse Rescue & Sanctuary,990,93493017005245,202540179349300524,2025_TEOS_XML_01A
23359197,EFILE,237447962,202406,2025,Good Shepherd Housing & Family Services Inc,990,93493020005365,202510209349300536,2025_TEOS_XML_01A
23357751,EFILE,351930718,202405,2025,FC PRIDE INC,990,93493019005035,202530199349300503,2025_TEOS_XML_01A
23357832,EFILE,813624648,202407,2025,Epic Academy,990,93493017015775,202520179349301577,2025_TEOS_XML_01A
23356483,EFILE,046006613,202406,2025,CHILDREN'S OWN SCHOOL INC,990,93493016008195,202540169349300819,2025_TEOS_XML_01A
23355069,EFILE,222755473,202406,2025,CONNECTICUT CHORAL ARTISTS INC,990,93493015023155,202500159349302315,2025_TEOS_XML_01A
23356570,EFILE,411975551,202409,2025,NHHIASI BLOOMINGTON INC,990,93493016005495,202540169349300549,2025_TEOS_XML_01A
23358181,EFILE,411333404,202406,2025,NORTHWOODS BATTERED WOMEN'S SHELTER INC,990,93493020001405,202500209349300140,2025_TEOS_XML_01A
23356964,EFILE,522217353,202408,2025,OYE PALAVER HUT INC,990,93493015011235,202530159349301123,2025_TEOS_XML_01A
23359876,EFILE,386027165,202409,2025,INDIAN TRAILS CAMP,990,93493017016695,202540179349301669,2025_TEOS_XML_01A
23359885,EFILE,311704917,202406,2025,NEW CENTURY CENTER,990,93493017014045,202540179349301404,2025_TEOS_XML_01A
23358561,EFILE,942583281,202406,2025,SNOWBIRD SPORTS EDUCATION FOUNDATIO,990,93493020010125,202520209349301012,2025_TEOS_XML_01A
23358648,EFILE,271109956,202408,2025,GREENWICH SPANISH SCHOOL CORPORATION THE GREENWICH SPANISH SCHOOL GSS,990,93493017014465,202510179349301446,2025_TEOS_XML_01A
23332958,EFILE,465690446,202408,2025,THOMPSON SCHOOL PARENT-TEACHER ORGANIZATION,990EZ,93492015001965,202510159349200196,2025_TEOS_XML_01A
23332099,EFILE,883526203,202212,2025,LUVLAX INC,990EZ,93492358008644,202443589349200864,2025_TEOS_XML_01A
23333688,EFILE,411471720,202409,2025,Faribault County 4-H Federation MN,990EZ,93492017015555,202500179349201555,2025_TEOS_XML_01A
23404448,EFILE,760062145,202312,2025,CENTRAL HOUSTON INC,990,93493015007015,202510159349300701,2025_TEOS_XML_01A
23333932,EFILE,237241338,202405,2025,GFWC-Clearwater Community Woman's Club Inc,990EZ,93492020001285,202530209349200128,2025_TEOS_XML_01A
23353293,EFILE,363456893,202407,2025,CHILDREN'S CARE & DEVELOPMENT CENTER INC,990,93493355003414,202413559349300341,2025_TEOS_XML_01A
23353325,EFILE,844629738,202312,2025,STRATEGIC COMMUNITY PARTNERS INC,990,93493355015514,202413559349301551,2025_TEOS_XML_01A
23354133,EFILE,710554871,202309,2025,LUPUS FOUNDATION OF ARKANSAS INC,990,93493358006044,202443589349300604,2025_TEOS_XML_01A
23334591,EFILE,611636147,202408,2025,Almont Youth Baseball Association,990EZ,93492023007185,202530239349200718,2025_TEOS_XML_01A
23403833,EFILE,730749357,202212,2025,OKLAHOMA ROOFING CONTRACTOR ASSOCIATION INC,990,93493358008094,202443589349300809,2025_TEOS_XML_01A
23405311,EFILE,416172895,202410,2025,SANBORN COMMUNITY DEVELOPMENT INC,990,93493021016545,202540219349301654,2025_TEOS_XML_01A
23333154,EFILE,592338225,202405,2025,PONTE VEDRA WOMAN'S CLUB INC,990EZ,93492015013565,202510159349201356,2025_TEOS_XML_01A
23331665,EFILE,452631027,202312,2025,G B CULTURAL FOUNDATION,990EZ,93492355003304,202403559349200330,2025_TEOS_XML_01A
23403963,EFILE,510139332,202408,2025,HAMPDEN COUNTY BAR ASSOCIATION INC,990,93493016003385,202530169349300338,2025_TEOS_XML_01A
23333288,EFILE,882982086,202212,2025,A Moments Peace Foundation Inc,990EZ,93492016007215,202510169349200721,2025_TEOS_XML_01A
23334830,EFILE,593547077,202409,2025,COMMUNITY STEPPING STONES INC,990EZ,93492017006195,202540179349200619,2025_TEOS_XML_01A
23358401,EFILE,231663379,202406,2025,UNITED WAY OF ADAMS COUNTY INC,990,93493021010105,202500219349301010,2025_TEOS_XML_01A
23355508,EFILE,480830076,202406,2025,MANHATTAN RETIREMENT FOUNDATION INC,990,93493016010125,202520169349301012,2025_TEOS_XML_01A
23355549,EFILE,200403157,202406,2025,OSBORN SCHOOL PTO,990,93493016016125,202520169349301612,2025_TEOS_XML_01A
23357215,EFILE,132710179,202402,2025,EAST HARLEM PILOT BLOCK HDFC INC,990,93493017008485,202530179349300848,2025_TEOS_XML_01A
23360164,EFILE,621198573,202406,2025,WE CARE COMMUNITY SERVICES INC,990,93493023006345,202540239349300634,2025_TEOS_XML_01A
23357342,EFILE,356019417,202405,2025,NATIONAL SOCIETY OF ARTS AND LETTERS,990,93493023005465,202510239349300546,2025_TEOS_XML_01A
23356559,EFILE,222525322,202406,2025,BOXFORD FRIENDSHIP FOUNDATION INC,990,93493016018245,202540169349301824,2025_TEOS_XML_01A
23404140,EFILE,510153599,202410,2025,MARSHFIELD YACHT CLUB INC,990,93493015003305,202500159349300330,2025_TEOS_XML_01A
23404275,EFILE,660262723,202402,2025,ASOCIACION HECHO EN PUERTO RICO INC,990,93493015004195,202540159349300419,2025_TEOS_XML_01A
23331971,EFILE,270024765,202407,2025,MID CONTINENT COLOR GUARD ASSOCIATION,990EZ,93492355002034,202433559349200203,2025_TEOS_XML_01A
23268742,EFILE,366206615,202406,2025,OREGON ROTARY CLUB,990EZ,93492355002134,202433559349200213,2025_TEOS_XML_01A
23331996,EFILE,411995632,202407,2025,FAIRMONT CARDINALS BOOSTER CLUB IN,990EZ,93492355005134,202433559349200513,2025_TEOS_XML_01A
23358813,EFILE,464476527,202406,2025,THE SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,990,93493018008015,202510189349300801,2025_TEOS_XML_01A
23353701,EFILE,010861643,202312,2025,PUTNAM LAND CONSERVANCY INC,990,93493361003024,202423619349300302,2025_TEOS_XML_01A
23018877,EFILE,016076500,202408,2025,RICHARD S HUESTIS TRUST UW 8957,990PF,93491358009514,202413589349100951,2025_TEOS_XML_01A
23357346,EFILE,455303769,202406,2025,Maine Connections Academy,990,93493023012115,202510239349301211,2025_TEOS_XML_01A
23044163,EFILE,236767559,202408,2025,GINGOLDMOLLY TW DR LITTLE FD (PF),990PF,93491018001015,202510189349100101,2025_TEOS_XML_01A
23044184,EFILE,251557328,202409,2025,GENEVIEVE B & JOHN L MCCAIN FOUNDATION,990PF,93491021002125,202520219349100212,2025_TEOS_XML_01A
23044203,EFILE,932776189,202312,2025,PetroQuip Foundation,990PF,93491022001235,202530229349100123,2025_TEOS_XML_01A
23358980,EFILE,680234744,202406,2025,CALIFORNIA WILDLIFE FOUNDATION,990,93493022013335,202530229349301333,2025_TEOS_XML_01A
23334061,EFILE,680268223,202406,2025,LUCAS VALLEY ELEMENTARY HOME & SCHOOL CLUB,990EZ,93492019000025,202520199349200002,2025_TEOS_XML_01A
23043853,EFILE,113457122,202409,2025,Elizabeth T McNamee Memorial Fund Inc,990PF,93491019000005,202500199349100000,2025_TEOS_XML_01A
